_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6690532a9b66a9bab0855b8d,,109.36,100,109.36,70.07,75;0;0;0,quote,6828,0,19,8.23,0,52.54,false,false,english,none,master,false,false,false,,1720734506000
669052239b66a9bab08554fe,,92.98,100,92.98,72.36,72;0;0;0,quote,5629,0,3,9.29,0,3.9,false,false,english,none,master,false,false,false,,1720734243000
669052109b66a9bab0855474,,90.4,100,90.4,52.99,38;0;0;0,quote,5269,0,0,5.04,0,0,false,false,english,none,master,false,false,false,,1720734224000
669052099b66a9bab085544f,,83.22,100,83.22,56.43,35;0;0;0,quote,5286,0,18,5.05,0,43.16,false,false,english,none,master,false,false,false,,1720734217000
6690321e9b66a9bab0846789,,103.99,100,103.99,73.69,41;0;0;0,quote,6842,0,21,4.73,0,32.17,false,false,english,none,master,false,false,false,,1720726046000
66901a8e9b66a9bab0838eae,,98.63,100,98.63,84.67,88;0;0;0,quote,3416,0,8,10.71,0,19.41,false,false,english,none,master,false,false,false,,1720720014000
66901a5c9b66a9bab0838ceb,,87.01,100,87.01,50.22,73;0;0;0,quote,6477,0,2,10.07,0,11.89,false,false,english,none,master,false,false,false,,1720719964000
66901a419b66a9bab0838be1,,104.74,100,104.74,81.33,69;0;0;0,quote,1554,0,20,7.91,0,34.43,false,false,english,none,master,false,false,false,,1720719937000
6690199e9b66a9bab08385b7,,93.08,100,93.08,68.17,60;0;0;0,quote,5301,0,18,7.74,0,58.3,false,false,english,none,master,false,false,false,,1720719774000
668fd7c69b66a9bab080c246,,104.53,100,104.53,68.96,96;0;0;0,quote,288,0,3,11.02,0,9.69,false,false,english,none,master,false,false,false,,1720702918000
668fcd4a9b66a9bab08056ed,,100.39,100,100.39,67.72,54;0;0;0,quote,5680,0,8,6.45,0,14.11,false,false,english,none,master,false,false,false,,1720700234000
668fcd269b66a9bab080559f,,99.06,100,99.06,60.03,51;0;0;0,quote,621,0,8,6.18,0,23.1,false,false,english,none,master,false,false,false,,1720700198000
668fccf69b66a9bab08053d6,,100.75,100,100.75,65.5,94;0;0;0,quote,5044,0,13,11.2,0,22.17,false,false,english,none,master,false,false,false,,1720700150000
668fccbf9b66a9bab08051c5,,107.9,100,107.9,77.52,85;0;0;0,quote,6429,0,0,9.45,0,0,false,false,english,none,master,false,false,false,,1720700095000
